DATE,TREAST
2008-01-02,0.740627
2008-01-09,0.728203
2008-01-16,0.728259
2008-01-23,0.723315
2008-01-30,0.718371
2008-02-06,0.713376
2008-02-13,0.713369
2008-02-20,0.713362
2008-02-27,0.713355
2008-03-05,0.713388
2008-03-12,0.703436
2008-03-19,0.660484
2008-03-26,0.612305
2008-04-02,0.58124
2008-04-09,0.560114
2008-04-16,0.548632
2008-04-23,0.548661
2008-04-30,0.548692
2008-05-07,0.536714
2008-05-14,0.515656
2008-05-21,0.502863
2008-05-28,0.491091
2008-06-04,0.486937
2008-06-11,0.482073
2008-06-18,0.478734
2008-06-25,0.478796
2008-07-02,0.478866
2008-07-09,0.478951
2008-07-16,0.479036
2008-07-23,0.479121
2008-07-30,0.479206
2008-08-06,0.47933
2008-08-13,0.479434
2008-08-20,0.479538
2008-08-27,0.479642
2008-09-03,0.479726
2008-09-10,0.479782
2008-09-17,0.479839
2008-09-24,0.476578
2008-10-01,0.476621
2008-10-08,0.476579
2008-10-15,0.476555
2008-10-22,0.476512
2008-10-29,0.476469
2008-11-05,0.476456
2008-11-12,0.47644
2008-11-19,0.476425
2008-11-26,0.476407
2008-12-03,0.476354
2008-12-10,0.476246
2008-12-17,0.476138
2008-12-24,0.476014
2008-12-31,0.475921
2009-01-07,0.475718
2009-01-14,0.475515
2009-01-21,0.475322
2009-01-28,0.475129
2009-02-04,0.474982
2009-02-11,0.474869
2009-02-18,0.474756
2009-02-25,0.474643
2009-03-04,0.474619
2009-03-11,0.474661
2009-03-18,0.474704
2009-03-25,0.474746
2009-04-01,0.49233
2009-04-08,0.508414
2009-04-15,0.526103
2009-04-22,0.534969
2009-04-29,0.549046
2009-05-06,0.560601
2009-05-13,0.577091
2009-05-20,0.583271
2009-05-27,0.600142
2009-06-03,0.606168
2009-06-10,0.62869
2009-06-17,0.638668
2009-06-24,0.653193
2009-07-01,0.66347
2009-07-08,0.6735
2009-07-15,0.68403
2009-07-22,0.692726
2009-07-29,0.695758
2009-08-05,0.705331
2009-08-12,0.728974
2009-08-19,0.736086
2009-08-26,0.744878
2009-09-02,0.752841
2009-09-09,0.757772
2009-09-16,0.759803
2009-09-23,0.765633
2009-09-30,0.76916
2009-10-07,0.769185
2009-10-14,0.77346
2009-10-21,0.773486
2009-10-28,0.774561
2009-11-04,0.776512
2009-11-11,0.77652
2009-11-18,0.776527
2009-11-25,0.776535
2009-12-02,0.776543
2009-12-09,0.776554
2009-12-16,0.776565
2009-12-23,0.776576
2009-12-30,0.776587
2010-01-06,0.776595
2010-01-13,0.776603
2010-01-20,0.776611
2010-01-27,0.776619
2010-02-03,0.776614
2010-02-10,0.776592
2010-02-17,0.776571
2010-02-24,0.776549
2010-03-03,0.776553
2010-03-10,0.776591
2010-03-17,0.776629
2010-03-24,0.776667
2010-03-31,0.776705
2010-04-07,0.776708
2010-04-14,0.776711
2010-04-21,0.776714
2010-04-28,0.776717
2010-05-05,0.776749
2010-05-12,0.776792
2010-05-19,0.776834
2010-05-26,0.776877
2010-06-02,0.776913
2010-06-09,0.776932
2010-06-16,0.776951
2010-06-23,0.77697
2010-06-30,0.776989
2010-07-07,0.776997
2010-07-14,0.777005
2010-07-21,0.777013
2010-07-28,0.777021
2010-08-04,0.777019
2010-08-11,0.777009
2010-08-18,0.779549
2010-08-25,0.784498
2010-09-01,0.786283
2010-09-08,0.789894
2010-09-15,0.794646
2010-09-22,0.805107
2010-09-29,0.811669
2010-10-06,0.819072
2010-10-13,0.821156
2010-10-20,0.832121
2010-10-27,0.837848
2010-11-03,0.842008
2010-11-10,0.853041
2010-11-17,0.873618
2010-11-24,0.901238
2010-12-01,0.917451
2010-12-08,0.949612
2010-12-15,0.967553
2010-12-22,1.007237
2010-12-29,1.016102
2011-01-05,1.030985
2011-01-12,1.062061
2011-01-19,1.079578
2011-01-26,1.114448
2011-02-02,1.138166
2011-02-09,1.167087
2011-02-16,1.190341
2011-02-23,1.213425
2011-03-02,1.236258
2011-03-09,1.266069
2011-03-16,1.280386
2011-03-23,1.305239
2011-03-30,1.333445
2011-04-06,1.358207
2011-04-13,1.374695
2011-04-20,1.402494
2011-04-27,1.413467
2011-05-04,1.441855
2011-05-11,1.466209
2011-05-18,1.495166
2011-05-25,1.519327
2011-06-01,1.532236
2011-06-08,1.55466
2011-06-15,1.575939
2011-06-22,1.601963
2011-06-29,1.61706
2011-07-06,1.624515
2011-07-13,1.630414
2011-07-20,1.634093
2011-07-27,1.638161
2011-08-03,1.640919
2011-08-10,1.644743
2011-08-17,1.647633
2011-08-24,1.648435
2011-08-31,1.652113
2011-09-07,1.655599
2011-09-14,1.65896
2011-09-21,1.663105
2011-09-28,1.664655
2011-10-05,1.671784
2011-10-12,1.668766
2011-10-19,1.670256
2011-10-26,1.678012
2011-11-02,1.654195
2011-11-09,1.668111
2011-11-16,1.675836
2011-11-23,1.664795
2011-11-30,1.672038
2011-12-07,1.675034
2011-12-14,1.673475
2011-12-21,1.684249
2011-12-28,1.672092
2012-01-04,1.663438
2012-01-11,1.650843
2012-01-18,1.651506
2012-01-25,1.661529
2012-02-01,1.662459
2012-02-08,1.660692
2012-02-15,1.667071
2012-02-22,1.656581
2012-02-29,1.661601
2012-03-07,1.659279
2012-03-14,1.659768
2012-03-21,1.663484
2012-03-28,1.664911
2012-04-04,1.669371
2012-04-11,1.681093
2012-04-18,1.672141
2012-04-25,1.667766
2012-05-02,1.66763
2012-05-09,1.665939
2012-05-16,1.656793
2012-05-23,1.656824
2012-05-30,1.656675
2012-06-06,1.664292
2012-06-13,1.660158
2012-06-20,1.663577
2012-06-27,1.66653
2012-07-04,1.666375
2012-07-11,1.662637
2012-07-18,1.648694
2012-07-25,1.651432
2012-08-01,1.649294
2012-08-08,1.652416
2012-08-15,1.64636
2012-08-22,1.637152
2012-08-29,1.639413
2012-09-05,1.648862
2012-09-12,1.650851
2012-09-19,1.646098
2012-09-26,1.648403
2012-10-03,1.652944
2012-10-10,1.653737
2012-10-17,1.659084
2012-10-24,1.646524
2012-10-31,1.645334
2012-11-07,1.651289
2012-11-14,1.656833
2012-11-21,1.650489
2012-11-28,1.646645
2012-12-05,1.653593
2012-12-12,1.660807
2012-12-19,1.658851
2012-12-26,1.65693
2013-01-02,1.666118
2013-01-09,1.676307
2013-01-16,1.688886
2013-01-23,1.696691
2013-01-30,1.710058
2013-02-06,1.717182
2013-02-13,1.728477
2013-02-20,1.736456
2013-02-27,1.749545
2013-03-06,1.761763
2013-03-13,1.769987
2013-03-20,1.784652
2013-03-27,1.794459
2013-04-03,1.805639
2013-04-10,1.814482
2013-04-17,1.825042
2013-04-24,1.836227
2013-05-01,1.847983
2013-05-08,1.854334
2013-05-15,1.864508
2013-05-22,1.877154
2013-05-29,1.883559
2013-06-05,1.89801
2013-06-12,1.906079
2013-06-19,1.918706
2013-06-26,1.928416
2013-07-03,1.942678
2013-07-10,1.952529
2013-07-17,1.961671
2013-07-24,1.970003
2013-07-31,1.982407
2013-08-07,1.993375
2013-08-14,2.001093
2013-08-21,2.012169
2013-08-28,2.02361
2013-09-04,2.03329
2013-09-11,2.041088
2013-09-18,2.052055
2013-09-25,2.062004
2013-10-02,2.076927
2013-10-09,2.086741
2013-10-16,2.095034
2013-10-23,2.106475
2013-10-30,2.11775
2013-11-06,2.125552
2013-11-13,2.137037
2013-11-20,2.150957
2013-11-27,2.163666
2013-12-04,2.169788
2013-12-11,2.185719
2013-12-18,2.197292
2013-12-25,2.208829
2014-01-01,2.208775
2014-01-08,2.212924
2014-01-15,2.220953
2014-01-22,2.23143
2014-01-29,2.243176
2014-02-05,2.252973
2014-02-12,2.261099
2014-02-19,2.267872
2014-02-26,2.278256
2014-03-05,2.288453
2014-03-12,2.295938
2014-03-19,2.305795
2014-03-26,2.311539
2014-04-02,2.320653
2014-04-09,2.326085
2014-04-16,2.335991
2014-04-23,2.341768
2014-04-30,2.350272
2014-05-07,2.354916
2014-05-14,2.361328
2014-05-21,2.367236
2014-05-28,2.370724
2014-06-04,2.378186
2014-06-11,2.385801
2014-06-18,2.391477
2014-06-25,2.396972
2014-07-02,2.404577
2014-07-09,2.408506
2014-07-16,2.410339
2014-07-23,2.413616
2014-07-30,2.420285
2014-08-06,2.422566
2014-08-13,2.427647
2014-08-20,2.431395
2014-08-27,2.435932
2014-09-03,2.436986
2014-09-10,2.440637
2014-09-17,2.446572
2014-09-24,2.448625
2014-10-01,2.451736
2014-10-08,2.454457
2014-10-15,2.455345
2014-10-22,2.459197
2014-10-29,2.46158
2014-11-05,2.461581
2014-11-12,2.461602
2014-11-19,2.461622
2014-11-26,2.461645
2014-12-03,2.461625
2014-12-10,2.46156
2014-12-17,2.461495
2014-12-24,2.46142
2014-12-31,2.461364
2015-01-07,2.461224
2015-01-14,2.461084
2015-01-21,2.460944
2015-01-28,2.460804
2015-02-04,2.460652
2015-02-11,2.46049
2015-02-18,2.460328
2015-02-25,2.460167
2015-03-04,2.460028
2015-03-11,2.459908
2015-03-18,2.459787
2015-03-25,2.459666
2015-04-01,2.459578
2015-04-08,2.459693
2015-04-15,2.459806
2015-04-22,2.45992
2015-04-29,2.460034
2015-05-06,2.460182
2015-05-13,2.460334
2015-05-20,2.460486
2015-05-27,2.460639
2015-06-03,2.460749
2015-06-10,2.460803
2015-06-17,2.460857
2015-06-24,2.460911
2015-07-01,2.460975
2015-07-08,2.461107
2015-07-15,2.461238
2015-07-22,2.46137
2015-07-29,2.461502
2015-08-05,2.461603
2015-08-12,2.461694
2015-08-19,2.461785
2015-08-26,2.461876
2015-09-02,2.461941
2015-09-09,2.461943
2015-09-16,2.461944
2015-09-23,2.461946
2015-09-30,2.461948
2015-10-07,2.461911
2015-10-14,2.461874
2015-10-21,2.461837
2015-10-28,2.4618
2015-11-04,2.46176
2015-11-11,2.461718
2015-11-18,2.461676
2015-11-25,2.461628
2015-12-02,2.461601
2015-12-09,2.461589
2015-12-16,2.461578
2015-12-23,2.461566
2015-12-30,2.461554
2016-01-06,2.461505
2016-01-13,2.46145
2016-01-20,2.461396
2016-01-27,2.461341
2016-02-03,2.461269
2016-02-10,2.461174
2016-02-17,2.46108
2016-02-24,2.461211
2016-03-02,2.461152
2016-03-09,2.461196
2016-03-16,2.461239
2016-03-23,2.461283
2016-03-30,2.461326
2016-04-06,2.461345
2016-04-13,2.461368
2016-04-20,2.46139
2016-04-27,2.461413
2016-05-04,2.461489
2016-05-11,2.461605
2016-05-18,2.461721
2016-05-25,2.461637
2016-06-01,2.461761
2016-06-08,2.461897
2016-06-15,2.462032
2016-06-22,2.462168
2016-06-29,2.462303
2016-07-06,2.462427
2016-07-13,2.462541
2016-07-20,2.462652
2016-07-27,2.462763
2016-08-03,2.462865
2016-08-10,2.462956
2016-08-17,2.463447
2016-08-24,2.463538
2016-08-31,2.463645
2016-09-07,2.463599
2016-09-14,2.463553
2016-09-21,2.463506
2016-09-28,2.46346
2016-10-05,2.463473
2016-10-12,2.463497
2016-10-19,2.46352
2016-10-26,2.463544
2016-11-02,2.463586
2016-11-09,2.463654
2016-11-16,2.463722
2016-11-23,2.463801
2016-11-30,2.463861
2016-12-07,2.463496
2016-12-14,2.463531
2016-12-21,2.463566
2016-12-28,2.463601
2017-01-04,2.463591
2017-01-11,2.463548
2017-01-18,2.463504
2017-01-25,2.463462
2017-02-01,2.463426
2017-02-08,2.463436
2017-02-15,2.463446
2017-02-22,2.463456
2017-03-01,2.463488
2017-03-08,2.46365
2017-03-15,2.463812
2017-03-22,2.463974
2017-03-29,2.464335
2017-04-05,2.464454
2017-04-12,2.464546
2017-04-19,2.464638
2017-04-26,2.46473
2017-05-03,2.464792
2017-05-10,2.464815
2017-05-17,2.464638
2017-05-24,2.46466
2017-05-31,2.464696
2017-06-07,2.464783
2017-06-14,2.464871
2017-06-21,2.464958
2017-06-28,2.465046
2017-07-05,2.465096
2017-07-12,2.465121
2017-07-19,2.465145
2017-07-26,2.46517
2017-08-02,2.465195
2017-08-09,2.465221
2017-08-16,2.465247
2017-08-23,2.465273
2017-08-30,2.4653
2017-09-06,2.465289
2017-09-13,2.465468
2017-09-20,2.465448
2017-09-27,2.465427
2017-10-04,2.465467
2017-10-11,2.465554
2017-10-18,2.465641
2017-10-25,2.465727
