Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2021-10-31,Nonmarketable,United States Savings Securities,143514.94515594,0,143514.94515594,11,2022,1,2021,4,10,31
2021-10-31,Nonmarketable,Government Account Series,229416.4678422,6247230.07088613,6476646.53872833,12,2022,1,2021,4,10,31
2021-10-31,Nonmarketable,Other,3177.55011974,0,3177.55011974,13,2022,1,2021,4,10,31
2021-10-31,Total Nonmarketable,_,529452.7104913,6247230.07088613,6776682.78137743,14,2022,1,2021,4,10,31
2021-10-31,Total Public Debt Outstanding,_,22637089.618511,6271676.24279488,28908764.8613059,15,2022,1,2021,4,10,31
2021-10-31,Marketable,Bills,3850718.0667,1387.8767,3852105.9434,1,2022,1,2021,4,10,31
2021-10-31,Marketable,Notes,12637484.2393,8680.1846,12646164.4239,2,2022,1,2021,4,10,31
2021-10-31,Marketable,Bonds,3365745.29945,7615.0675,3373360.36695,3,2022,1,2021,4,10,31
2021-10-31,Marketable,Treasury Inflation-Protected Securities,1674397.89956975,633.98410875,1675031.8836785,4,2022,1,2021,4,10,31
2021-10-31,Marketable,Floating Rate Notes,579291.403,75.02,579366.423,5,2022,1,2021,4,10,31
2021-10-31,Marketable,Federal Financing Bank,0,6053.039,6053.039,6,2022,1,2021,4,10,31
2021-10-31,Total Marketable,_,22107636.9080197,24445.17190875,22132082.0799285,7,2022,1,2021,4,10,31
2021-10-31,Nonmarketable,Domestic Series,32781.54871419,0,32781.54871419,8,2022,1,2021,4,10,31
2021-10-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2022,1,2021,4,10,31
2021-10-31,Nonmarketable,State and Local Government Series,120297.85665923,0,120297.85665923,10,2022,1,2021,4,10,31
2021-09-30,Nonmarketable,United States Savings Securities,143662.05692154,0,143662.05692154,11,2021,4,2021,3,09,30
2021-09-30,Nonmarketable,Government Account Series,120537.14953581,6122780.92977122,6243318.07930703,12,2021,4,2021,3,09,30
2021-09-30,Nonmarketable,Other,3143.76584775,0,3143.76584775,13,2021,4,2021,3,09,30
2021-09-30,Total Nonmarketable,_,427434.97038687,6122780.92977122,6550215.90015809,14,2021,4,2021,3,09,30
2021-09-30,Total Public Debt Outstanding,_,22282900.2281302,6146017.88433845,28428919.1124686,15,2021,4,2021,3,09,30
2021-09-30,Marketable,Bills,3712951.5196,1167.0487,3714118.5683,1,2021,4,2021,3,09,30
2021-09-30,Marketable,Notes,12570462.9311,8478.1686,12578941.0997,2,2021,4,2021,3,09,30
2021-09-30,Marketable,Bonds,3340760.23275,6795.2563,3347555.48905,3,2021,4,2021,3,09,30
2021-09-30,Marketable,Treasury Inflation-Protected Securities,1651998.37629334,669.21696723,1652667.59326057,4,2021,4,2021,3,09,30
2021-09-30,Marketable,Floating Rate Notes,579292.198,74.225,579366.423,5,2021,4,2021,3,09,30
2021-09-30,Marketable,Federal Financing Bank,0,6053.039,6053.039,6,2021,4,2021,3,09,30
2021-09-30,Total Marketable,_,21855465.2577433,23236.95456723,21878702.2123106,7,2021,4,2021,3,09,30
2021-09-30,Nonmarketable,Domestic Series,32781.09700539,0,32781.09700539,8,2021,4,2021,3,09,30
2021-09-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,4,2021,3,09,30
2021-09-30,Nonmarketable,State and Local Government Series,127046.55907638,0,127046.55907638,10,2021,4,2021,3,09,30
2021-08-31,Marketable,Bills,4036834.9328,1277.815,4038112.7478,1,2021,4,2021,3,08,31
2021-08-31,Marketable,Notes,12403487.9371,8425.0361,12411912.9732,2,2021,4,2021,3,08,31
2021-08-31,Marketable,Bonds,3287357.47535,6752.1723,3294109.64765,3,2021,4,2021,3,08,31
2021-08-31,Marketable,Treasury Inflation-Protected Securities,1627920.41460789,712.56965336,1628632.98426125,4,2021,4,2021,3,08,31
