Source,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release
Terms of Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Update,2021-11-15 15:37:28,2021-06-30,2021-11-15 15:36:24,2021-06-30,2021-11-15 15:32:59,2021-06-30,2021-11-15 15:29:43,2021-06-30,2021-11-15 15:20:15,2021-06-30,2021-11-15 15:19:08,2021-06-30,2021-11-15 15:16:04,2021-06-30,2021-11-15 15:11:55,2021-06-30,2021-11-15 15:28:55,2021-06-30,2021-11-15 15:28:06,2021-06-30,2021-11-15 15:24:57,2021-06-30,2021-11-15 15:21:52,2021-06-30,2021-11-15 15:47:00,2021-06-30,2021-11-15 15:47:28,2021-06-30,2021-11-15 15:47:16,2021-06-30,2021-11-15 15:47:11,2021-06-30,2021-11-15 15:46:52,2021-06-30,2021-11-15 15:46:02,2021-06-30,2021-11-15 15:43:52,2021-06-30,2021-11-15 15:44:17,2021-06-30,2021-11-15 15:44:05,2021-06-30,2021-11-15 15:43:59,2021-06-30,2021-11-15 15:43:43,2021-06-30,2021-11-15 15:43:23,2021-06-30,2021-11-15 15:44:54,2021-06-30,2021-11-15 15:45:58,2021-06-30,2021-11-15 15:45:36,2021-06-30,2021-11-15 15:45:17,2021-06-30,2021-11-15 15:44:49,2021-06-30,2021-11-15 15:44:39,2021-06-30,2021-11-15 14:57:00,2021-06-30,2021-11-15 14:58:50,2021-06-30,2021-11-15 15:08:11,2021-06-30,2021-11-15 15:07:25,2021-06-30,2021-11-15 15:03:12,2021-06-30,2021-11-15 15:04:48,2021-06-30,2021-11-15 14:55:46,2021-06-30,2021-11-15 14:55:29,2021-06-30,2021-11-15 14:53:16,2021-06-30,2021-11-15 14:53:44,2021-06-30,2021-11-15 14:55:09,2021-06-30,2021-11-15 14:54:49,2021-06-30,2021-11-15 14:54:05,2021-06-30,2021-11-15 14:54:28,2021-06-30,2021-11-15 14:52:17,2021-06-30,2021-11-15 14:51:54,2021-06-30
date,REPO-DVP_AR_G30-P,REPO-DVP_AR_G30-F,REPO-DVP_AR_LE30-P,REPO-DVP_AR_LE30-F,REPO-DVP_AR_OO-P,REPO-DVP_AR_OO-F,REPO-DVP_AR_TOT-P,REPO-DVP_AR_TOT-F,REPO-DVP_OV_G30-P,REPO-DVP_OV_G30-F,REPO-DVP_OV_LE30-P,REPO-DVP_OV_LE30-F,REPO-DVP_OV_OO-P,REPO-DVP_OV_OO-F,REPO-DVP_OV_TOT-P,REPO-DVP_OV_TOT-F,REPO-DVP_TV_G30-P,REPO-DVP_TV_G30-F,REPO-DVP_TV_LE30-P,REPO-DVP_TV_LE30-F,REPO-DVP_TV_OO-P,REPO-DVP_TV_OO-F,REPO-DVP_TV_TOT-P,REPO-DVP_TV_TOT-F,REPO-GCF_AR_AG-P,REPO-GCF_AR_AG-F,REPO-GCF_AR_G30-P,REPO-GCF_AR_G30-F,REPO-GCF_AR_LE30-P,REPO-GCF_AR_LE30-F,REPO-GCF_AR_OO-P,REPO-GCF_AR_OO-F,REPO-GCF_AR_T-P,REPO-GCF_AR_T-F,REPO-GCF_AR_TOT-P,REPO-GCF_AR_TOT-F,REPO-GCF_OV_AG-P,REPO-GCF_OV_AG-F,REPO-GCF_OV_G30-P,REPO-GCF_OV_G30-F,REPO-GCF_OV_LE30-P,REPO-GCF_OV_LE30-F,REPO-GCF_OV_OO-P,REPO-GCF_OV_OO-F,REPO-GCF_OV_T-P,REPO-GCF_OV_T-F,REPO-GCF_OV_TOT-P,REPO-GCF_OV_TOT-F,REPO-GCF_TV_AG-P,REPO-GCF_TV_AG-F,REPO-GCF_TV_G30-P,REPO-GCF_TV_G30-F,REPO-GCF_TV_LE30-P,REPO-GCF_TV_LE30-F,REPO-GCF_TV_OO-P,REPO-GCF_TV_OO-F,REPO-GCF_TV_T-P,REPO-GCF_TV_T-F,REPO-GCF_TV_TOT-P,REPO-GCF_TV_TOT-F,REPO-TRI_AR_AG-P,REPO-TRI_AR_AG-F,REPO-TRI_AR_CORD-P,REPO-TRI_AR_CORD-F,REPO-TRI_AR_G30-P,REPO-TRI_AR_G30-F,REPO-TRI_AR_LE30-P,REPO-TRI_AR_LE30-F,REPO-TRI_AR_O-P,REPO-TRI_AR_O-F,REPO-TRI_AR_OO-P,REPO-TRI_AR_OO-F,REPO-TRI_AR_T-P,REPO-TRI_AR_T-F,REPO-TRI_AR_TOT-P,REPO-TRI_AR_TOT-F,REPO-TRI_TV_AG-P,REPO-TRI_TV_AG-F,REPO-TRI_TV_CORD-P,REPO-TRI_TV_CORD-F,REPO-TRI_TV_G30-P,REPO-TRI_TV_G30-F,REPO-TRI_TV_LE30-P,REPO-TRI_TV_LE30-F,REPO-TRI_TV_O-P,REPO-TRI_TV_O-F,REPO-TRI_TV_OO-P,REPO-TRI_TV_OO-F,REPO-TRI_TV_T-P,REPO-TRI_TV_T-F,REPO-TRI_TV_TOT-P,REPO-TRI_TV_TOT-F
2014-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.35,0.35,0.41,0.41,0.08,0.08,0.27,0.27,0.08,0.08,0.05,0.05,0.1,0.1,242094623265.0,242094623265.0,24754026675.0,24754026675.0,58118917324.0,58118917324.0,19330020750.0,19330020750.0,139569417682.0,139569417682.0,705658619599.0,705658619599.0,376689490051.0,376689490051.0,783107557673.0,783107557673.0
2014-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.44,0.44,0.09,0.09,0.28,0.28,0.08,0.08,0.05,0.05,0.1,0.1,237558712431.0,237558712431.0,24642724738.0,24642724738.0,57714299879.0,57714299879.0,14405703063.0,14405703063.0,139854879300.0,139854879300.0,721243856011.0,721243856011.0,391307542484.0,391307542484.0,793363858953.0,793363858953.0
2014-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.43,0.43,0.09,0.09,0.28,0.28,0.08,0.08,0.05,0.05,0.1,0.1,248182914610.0,248182914610.0,25506947925.0,25506947925.0,57250725944.0,57250725944.0,37500875000.0,37500875000.0,137738944178.0,137738944178.0,722831122661.0,722831122661.0,406153916892.0,406153916892.0,817582723605.0,817582723605.0
2014-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.4,0.4,0.09,0.09,0.27,0.27,0.07,0.07,0.05,0.05,0.09,0.09,245219398447.0,245219398447.0,24495444200.0,24495444200.0,56658761484.0,56658761484.0,34886641750.0,34886641750.0,135883440702.0,135883440702.0,737769398537.0,737769398537.0,423716518422.0,423716518422.0,829314801771.0,829314801771.0
2014-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.35,0.35,0.43,0.43,0.08,0.08,0.28,0.28,0.07,0.07,0.04,0.04,0.1,0.1,236858924567.0,236858924567.0,24508725225.0,24508725225.0,56848368467.0,56848368467.0,30373713483.0,30373713483.0,137421484312.0,137421484312.0,713261280497.0,713261280497.0,401694228343.0,401694228343.0,800483362447.0,800483362447.0
2014-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.34,0.34,0.42,0.42,0.08,0.08,0.26,0.26,0.07,0.07,0.05,0.05,0.1,0.1,238862300252.0,238862300252.0,28281235475.0,28281235475.0,61130363733.0,61130363733.0,22879900000.0,22879900000.0,142412034672.0,142412034672.0,741591455050.0,741591455050.0,416046148384.0,416046148384.0,825601718783.0,825601718783.0
2014-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.36,0.36,0.44,0.44,0.1,0.1,0.29,0.29,0.08,0.08,0.05,0.05,0.1,0.1,248601906146.0,248601906146.0,26734048425.0,26734048425.0,59252080616.0,59252080616.0,44473202962.0,44473202962.0,139933126578.0,139933126578.0,723758528923.0,723758528923.0,412214731352.0,412214731352.0,827483812501.0,827483812501.0
