Record Date,Bills,Notes,Bonds,All
2021-11-30,3.7860963273999997,12.854561256999999,3.43352532765,20.07418291205
2021-10-31,3.8521059434000002,12.6461644239,3.37336036695,19.87163073425
2021-09-30,3.7141185683,12.5789410997,3.34755548905,19.64061515705
2021-08-31,4.0381127478,12.411912973200002,3.29410964765,19.74413536865
2021-07-31,4.1421266849,12.1850258327,3.20787953015,19.53503204775
2021-06-30,4.2750919676,12.1063515556,3.17992858705,19.561372110250005
2021-05-31,4.3770776849,11.8303549449,3.09383908715,19.301271716949998
2021-04-30,4.5400504092,11.7833041551,3.06258224235,19.385936806649998
2021-03-31,4.6690385121,11.5972170102,3.00631452555,19.27257004785
2021-02-28,4.859032850599999,11.312275940400001,2.91966838995,19.090977180950002
2021-01-31,4.9549501575,11.1727617718,2.8657054896,18.9934174189
2020-12-31,4.9641398545,11.091924194299999,2.8392929035,18.8953569523
2020-11-30,4.9436635075,10.9191358752,2.7866192894,18.6494186721
2020-10-31,4.985339527200001,10.7292016322,2.697136165,18.4116773244
2020-09-30,5.0289076508,10.663763656099999,2.6734927924500003,18.366164099349998
2020-08-31,5.0767214434,10.524031862700001,2.62453539575,18.22528870185
2020-07-31,5.0789409177,10.4276288625,2.57295932675,18.07952910695
2020-06-30,5.0796260736,10.3144649741,2.53336064365,17.927451691349997
2020-05-31,4.629918641,10.176713185699999,2.47266568055,17.27929750725
2020-04-30,4.001773206,10.1637266956,2.44661312005,16.61211302165
2020-03-31,2.6574393487,10.0924974356,2.42955718935,15.179493973649999
2020-02-29,2.5645831002,9.994275028799999,2.41354204825,14.972400177250002
2020-01-31,2.4042907659,9.9987359517,2.39556884385,14.798595561449998
2019-12-31,2.416864223,9.92923059729999,2.3790572348500003,14.72515205514999
2019-11-30,2.5151280787999997,9.830428808299999,2.36305842575,14.70861531285
2019-10-31,2.4560753764,9.8349452884,2.33506478705,14.626085451849999
2019-09-30,2.3769579278000004,9.76278376379999,2.31906498825,14.45880667984999
2019-08-31,2.3319151312,9.6564221656,2.30306720205,14.291404498850001
2019-07-31,2.205896846,9.64222113739999,2.29060963825,14.138727621649991
2019-06-30,2.2509338631,9.5544166458,2.27447364285,14.07982415175
2019-05-31,2.3539462359,9.51639211219999,2.2584740521,14.12881240019999
2019-04-30,2.3839931211,9.49138868729999,2.2330015642,14.10838337259999
2019-03-31,2.4800351888,9.4142698447,2.2169996079,14.111304641399999
2019-02-28,2.3960419429,9.37627107659999,2.2009998031999998,13.97331282269999
