Date,MBS Total PAR Value,MBS Weighted Average,Treasury Total PAR Value,Treasury Weighted Average
01/04/2021,78700000000,  0.125,64504000000,  0.121 
01/05/2021,62400000000,  0.130,44904000000,  0.125 
01/06/2021,65100000000,  0.129,52600000000,  0.124 
01/07/2021,60100000000,  0.130,42072000000,  0.120 
01/08/2021,49200000000,  0.122,44800000000,  0.114 
01/11/2021,49300000000,  0.119,55476000000,  0.096 
01/12/2021,58000000000,  0.114,43336000000,  0.098 
01/13/2021,45700000000,  0.111,45970000000,  0.100 
01/14/2021,49650000000,  0.112,38400000000,  0.088 
01/15/2021,54250000000,  0.117,47240000000,  0.090 
01/19/2021,54200000000,  0.109,52162000000,  0.089 
01/20/2021,59400000000,  0.102,63724000000,  0.063 
01/21/2021,39900000000,  0.089,57300000000,  0.044 
01/22/2021,37350000000,  0.095,67574000000,  0.076 
01/25/2021,43880000000,  0.097,69252000000,  0.075 
01/26/2021,44150000000,  0.076,66820000000,  0.042 
01/27/2021,50700000000,  0.065,56180000000,  0.054 
01/28/2021,69750000000,  0.101,74488000000,  0.074 
01/29/2021,50800000000,  0.106,54502000000,  0.072 
02/01/2021,56600000000,  0.111,70350000000,  0.100 
02/02/2021,49850000000,  0.106,45340000000,  0.096 
02/03/2021,54650000000,  0.103,50580000000,  0.088 
02/04/2021,43440000000,  0.094,44720000000,  0.062 
02/05/2021,41400000000,  0.082,70050000000,  0.037 
02/08/2021,51600000000,  0.090,52000000000,  0.062 
02/09/2021,66000000000,  0.113,53920000000,  0.097 
02/10/2021,53800000000,  0.117,41700000000,  0.102 
02/11/2021,39350000000,  0.109,59850000000,  0.081 
02/12/2021,34450000000,  0.101,66100000000,  0.067 
02/16/2021,52500000000,  0.121,71202000000,  0.093 
02/17/2021,43500000000,  0.110,59250000000,  0.080 
02/18/2021,37900000000,  0.085,64330000000,  0.054 
02/19/2021,29400000000,  0.081,56830000000,  0.042 
02/22/2021,37500000000,  0.088,66100000000,  0.046 
02/23/2021,28500000000,  0.077,64300000000,  0.023 
02/24/2021,60450000000,  0.070,62810000000,  0.050 
02/25/2021,56300000000,  0.070,74500000000,  0.038 
02/26/2021,35650000000,  0.045,62060000000,  0.009 
03/01/2021,49900000000,  0.047,69000000000,  0.058 
03/02/2021,40250000000,  0.077,80000000000,  0.075 
03/03/2021,23650000000,  0.067,64450000000,  0.058 
03/04/2021,23850000000,  0.049,62850000000,  0.038 
03/05/2021,15050000000,  0.043,48700000000,  0.035 
03/08/2021,21450000000,  0.049,44124000000,  0.035 
03/09/2021,16750000000,  0.050,51810000000,  0.042 
03/10/2021,20940000000,  0.051,39280000000,  0.048 
03/11/2021,6850000000,  0.028,49458000000,  0.019 
03/12/2021,16200000000,  0.019,52620000000,  0.012 
03/15/2021,25600000000,  0.025,37400000000,  0.023 
03/16/2021,36750000000,  0.019,47850000000,  0.012 
03/17/2021,36600000000,  0.013,61700000000,  0.010 
03/18/2021,31100000000,  0.007,47200000000, -0.008 
03/19/2021,25650000000,  0.002,48300000000,  0.005 
03/22/2021,32320000000,  0.004,50700000000,  0.005 
03/23/2021,35500000000,  0.005,65100000000,  0.006 
03/24/2021,50000000000,  0.019,75300000000,  0.016 
03/25/2021,56150000000,  0.040,66750000000,  0.040 
03/26/2021,53900000000,  0.041,51600000000,  0.036 
03/29/2021,52700000000,  0.043,37500000000,  0.027 
03/30/2021,23238000000,  0.024,28310000000,  0.001 
03/31/2021,28770000000,  0.006,46050000000,  0.010 
04/01/2021,34200000000,  0.033,60550000000,  0.036 
04/05/2021,42000000000,  0.047,57900000000,  0.040 
04/06/2021,29400000000,  0.038,56250000000,  0.028 
04/07/2021,32100000000,  0.026,48950000000,  0.023 
04/08/2021,22450000000,  0.017,40300000000,  0.013 
04/09/2021,24750000000,  0.011,41000000000,  0.004 
04/12/2021,26750000000,  0.016,54550000000,  0.003 
04/13/2021,28450000000,  0.017,49000000000,  0.006 
04/14/2021,40150000000,  0.010,44350000000,  0.000 
04/15/2021,32066000000,  0.017,49700000000,  0.015 
04/16/2021,35472000000,  0.014,56500000000,  0.008 
04/19/2021,24820000000,  0.010,57600000000,  0.008 
04/20/2021,29672000000,  0.010,47250000000,  0.005 
04/21/2021,28110000000,  0.009,48270000000,  0.003 
04/22/2021,13172000000,  0.011,47200000000,  0.009 
04/23/2021,38322000000,  0.012,55200000000,  0.015 
04/26/2021,43672000000,  0.016,37400000000,  0.009 
04/27/2021,29172000000,  0.009,43550000000,  0.002 
04/28/2021,20070000000,  0.008,39800000000,  0.000 
04/29/2021,27320000000,  0.004,47600000000,  0.000 
04/30/2021,34750000000,  0.012,52500000000,  0.017 
05/03/2021,39070000000,  0.017,53700000000,  0.013 
05/04/2021,38000000000,  0.019,52310000000,  0.009 
05/05/2021,38120000000,  0.018,39810000000,  0.010 
05/06/2021,28970000000,  0.021,37550000000,  0.012 
05/07/2021,24418000000,  0.019,51060000000,  0.010 
05/10/2021,34220000000,  0.020,48260000000,  0.011 
05/11/2021,37420000000,  0.019,47560000000,  0.011 
05/12/2021,30120000000,  0.018,51910000000,  0.008 
05/13/2021,27770000000,  0.008,45380000000,  0.001 
05/14/2021,22220000000,  0.010,42250000000,  0.002 
05/17/2021,37470000000,  0.012,32320000000,  0.006 
05/18/2021,27570000000,  0.012,39850000000,  0.002 
05/19/2021,21590000000,  0.011,34970000000,  0.004 
05/20/2021,20700000000,  0.010,29312000000,  0.001 
05/21/2021,37400000000,  0.009,38412000000, -0.006 
05/24/2021,34458000000,  0.014,42400000000, -0.001 
05/25/2021,23608000000,  0.012,45850000000,  0.000 
05/26/2021,26300000000,  0.012,47350000000, -0.001 
05/27/2021,28108000000,  0.010,39350000000, -0.001 
05/28/2021,25618000000,  0.012,45064000000,  0.003 
06/01/2021,78740000000,  0.022,76100000000,  0.020 
06/02/2021,54920000000,  0.020,74224000000,  0.018 
06/03/2021,42160000000,  0.020,62450000000,  0.014 
06/04/2021,32960000000,  0.019,51000000000,  0.013 
06/07/2021,28460000000,  0.013,52950000000,  0.009 
06/08/2021,29710000000,  0.017,49650000000,  0.010 
06/09/2021,28522000000,  0.020,39200000000,  0.010 
06/10/2021,34524000000,  0.019,55450000000,  0.009 
06/11/2021,30326000000,  0.018,40500000000,  0.009 
06/14/2021,34730000000,  0.009,42200000000,  0.004 
06/15/2021,38834000000,  0.014,50476000000,  0.009 
06/16/2021,40234000000,  0.016,44150000000,  0.010 
06/17/2021,35404000000,  0.046,91566000000,  0.043 
06/18/2021,18550000000,  0.051,56138000000,  0.043 
06/21/2021,19300000000,  0.044,62030000000,  0.039 
06/22/2021,26450000000,  0.040,49700000000,  0.039 
06/23/2021,23100000000,  0.040,46150000000,  0.038 
06/24/2021,51884000000,  0.058,53700000000,  0.049 
06/25/2021,41200000000,  0.065,53000000000,  0.057 
06/28/2021,49200000000,  0.065,49050000000,  0.042 
06/29/2021,35300000000,  0.058,49900000000,  0.031 
06/30/2021,26952000000,  0.059,61920000000,  0.050 
07/01/2021,21850000000,  0.067,65400000000,  0.062 
07/02/2021,21650000000,  0.074,74500000000,  0.066 
07/06/2021,39750000000,  0.071,72410000000,  0.068 
07/07/2021,33800000000,  0.072,69950000000,  0.068 
07/08/2021,15600000000,  0.066,66640000000,  0.060 
07/09/2021,15100000000,  0.059,58680000000,  0.051 
07/12/2021,14550000000,  0.053,56150000000,  0.048 
07/13/2021,20500000000,  0.056,60700000000,  0.051 
07/14/2021,25750000000,  0.047,64100000000,  0.044 
07/15/2021,9540000000,  0.066,59700000000,  0.055 
07/16/2021,14900000000,  0.046,47900000000,  0.043 
07/19/2021,9310000000,  0.045,64250000000,  0.037 
07/20/2021,12600000000,  0.042,49150000000,  0.040 
07/21/2021,19600000000,  0.038,60064000000,  0.038 
07/22/2021,24550000000,  0.038,61200000000,  0.039 
07/23/2021,36750000000,  0.069,48600000000,  0.055 
07/26/2021,38750000000,  0.070,42000000000,  0.054 
07/27/2021,46650000000,  0.069,43400000000,  0.054 
07/28/2021,30050000000,  0.065,49750000000,  0.050 
07/29/2021,18400000000,  0.058,72050000000,  0.050 
07/30/2021,16570000000,  0.050,48700000000,  0.047 
08/02/2021,35550000000,  0.062,76150000000,  0.073 
08/03/2021,20900000000,  0.068,59200000000,  0.068 
08/04/2021,20200000000,  0.063,61600000000,  0.064 
08/05/2021,31850000000,  0.070,54000000000,  0.063 
08/06/2021,9650000000,  0.067,39050000000,  0.061 
08/09/2021,13350000000,  0.060,43410000000,  0.056 
08/10/2021,21100000000,  0.053,36880000000,  0.056 
08/11/2021,9850000000,  0.048,42500000000,  0.046 
08/12/2021,18900000000,  0.043,33850000000,  0.044 
08/13/2021,25450000000,  0.054,43000000000,  0.051 
08/16/2021,22804000000,  0.064,28700000000,  0.061 
08/17/2021,20750000000,  0.060,30650000000,  0.055 
08/18/2021,26912000000,  0.040,34610000000,  0.037 
08/19/2021,13962000000,  0.021,47760000000,  0.022 
08/20/2021,26560000000,  0.018,41150000000,  0.021 
08/23/2021,6910000000,  0.018,34600000000,  0.022 
08/24/2021,28406000000,  0.060,56520000000,  0.056 
08/25/2021,31604000000,  0.070,37450000000,  0.058 
08/26/2021,21504000000,  0.070,53710000000,  0.060 
08/27/2021,17204000000,  0.062,57910000000,  0.056 
08/30/2021,22104000000,  0.056,34030000000,  0.053 
08/31/2021,24950000000,  0.068,73500000000,  0.061 
09/01/2021,22750000000,  0.061,61730000000,  0.061 
09/02/2021,20200000000,  0.068,71930000000,  0.060 
09/03/2021,21800000000,  0.060,68010000000,  0.059 
09/07/2021,9296000000,  0.069,70120000000,  0.060 
09/08/2021,18596000000,  0.060,48870000000,  0.057 
09/09/2021,19896000000,  0.059,66960000000,  0.059 
09/10/2021,13800000000,  0.058,72830000000,  0.057 
09/13/2021,17000000000,  0.057,55630000000,  0.056 
09/14/2021,29292000000,  0.061,45570000000,  0.053 
09/15/2021,14738000000,  0.062,67580000000,  0.061 
09/16/2021,13296000000,  0.059,38920000000,  0.055 
09/17/2021,23896000000,  0.038,33810000000,  0.040 
09/20/2021,20342000000,  0.036,58520000000,  0.039 
09/21/2021,12350000000,  0.034,47820000000,  0.034 
09/22/2021,17200000000,  0.033,52020000000,  0.034 
09/23/2021,7750000000,  0.037,39454000000,  0.039 
09/24/2021,35050000000,  0.070,47600000000,  0.052 
09/27/2021,35100000000,  0.069,52930000000,  0.056 
09/28/2021,34250000000,  0.067,59120000000,  0.050 
09/29/2021,24950000000,  0.066,47770000000,  0.039 
09/30/2021,17950000000,  0.056,61820000000,  0.041 
10/01/2021,17100000000,  0.056,57010000000,  0.050 
10/04/2021,14900000000,  0.058,50040000000,  0.050 
10/05/2021,15300000000,  0.051,51270000000,  0.045 
10/06/2021,20600000000,  0.048,32330000000,  0.041 
10/07/2021,17600000000,  0.049,40320000000,  0.043 
10/08/2021,19700000000,  0.049,51300000000,  0.042 
10/12/2021,16100000000,  0.044,44210000000,  0.042 
10/13/2021,14650000000,  0.042,39000000000,  0.039 
10/14/2021,28304000000,  0.040,29470000000,  0.026 
10/15/2021,15516000000,  0.032,45020000000,  0.034 
10/18/2021,17150000000,  0.019,50650000000,  0.020 
10/19/2021,13230000000,  0.018,57200000000,  0.019 
10/20/2021,31850000000,  0.019,51450000000,  0.017 
10/21/2021,16450000000,  0.018,55240000000,  0.015 
10/22/2021,48150000000,  0.073,53038000000,  0.044 
10/25/2021,36850000000,  0.072,49250000000,  0.040 
10/26/2021,34550000000,  0.076,58800000000,  0.049 
10/27/2021,27500000000,  0.088,62100000000,  0.052 
10/28/2021,26250000000,  0.088,54860000000,  0.057 
10/29/2021,14150000000,  0.035,38050000000,  0.030 
11/01/2021,14800000000,  0.059,48350000000,  0.059 
11/02/2021,21230000000,  0.074,50100000000,  0.059 
11/03/2021,13250000000,  0.063,59690000000,  0.055 
11/04/2021,19450000000,  0.067,28850000000,  0.056 
11/05/2021,13450000000,  0.063,46100000000,  0.060 
11/08/2021,8750000000,  0.069,48380000000,  0.059 
11/09/2021,10150000000,  0.070,44240000000,  0.057 
11/10/2021,10000000000,  0.058,28820000000,  0.053 
11/12/2021,22200000000,  0.066,37400000000,  0.054 
11/15/2021,25600000000,  0.075,31750000000,  0.062 
11/16/2021,10500000000,  0.065,38650000000,  0.056 
11/17/2021,9250000000,  0.064,34750000000,  0.047 
11/18/2021,12900000000,  0.065,42050000000,  0.047 
11/19/2021,10400000000,  0.066,36650000000,  0.047 
11/22/2021,7800000000,  0.066,40900000000,  0.050 
11/23/2021,9150000000,  0.057,43330000000,  0.053 
11/24/2021,8000000000,  0.062,29000000000,  0.052 
11/26/2021,18150000000,  0.061,14700000000,  0.051 
11/29/2021,20000000000,  0.080,43500000000,  0.057 
11/30/2021,13750000000,  0.087,54800000000,  0.067 
12/01/2021,12400000000,  0.078,64450000000,  0.061 
12/02/2021,15800000000,  0.076,47650000000,  0.065 
12/03/2021,15220000000,  0.075,45300000000,  0.065 
12/06/2021,18100000000,  0.072,42050000000,  0.061 
12/07/2021,13950000000,  0.072,23100000000,  0.061 
12/08/2021,11120000000,  0.070,26050000000,  0.060 
12/09/2021,17650000000,  0.069,25320000000,  0.055 
12/10/2021,16590000000,  0.059,34860000000,  0.045 
12/13/2021,20700000000,  0.051,36380000000,  0.034 
12/14/2021,25820000000,  0.051,39780000000,  0.033 
12/15/2021,36000000000,  0.053,34900000000,  0.034 
12/16/2021,24250000000,  0.060,37800000000,  0.035 
12/17/2021,12900000000,  0.049,22700000000,  0.033 
12/20/2021,21800000000,  0.053,25950000000,  0.030 
12/21/2021,12500000000,  0.042,31100000000,  0.024 
12/22/2021,10750000000,  0.056,32900000000,  0.043 
12/23/2021,6650000000,  0.056,40900000000,  0.048 
12/27/2021,18800000000,  0.065,25350000000,  0.042 
12/28/2021,10450000000,  0.059,27500000000,  0.040 
12/29/2021,12982000000,  0.050,43100000000,  0.040 
12/30/2021,12260000000,  0.047,29650000000,  0.036 
12/31/2021,6940000000,  0.050,49550000000,  0.045 
01/03/2022,11700000000,  0.067,46400000000,  0.060 
01/04/2022,14300000000,  0.071,46100000000,  0.066 
TRAILER,252,,,,,
