"As Of Date","Time Series","Value (millions)"
"2015-01-07","PDGSIDBEXT","213699"
"2015-01-07","PDGSWOEXT","291678"
"2015-01-14","PDGSIDBEXT","225424"
"2015-01-14","PDGSWOEXT","297595"
"2015-01-21","PDGSIDBEXT","233810"
"2015-01-21","PDGSWOEXT","298279"
"2015-01-28","PDGSIDBEXT","186476"
"2015-01-28","PDGSWOEXT","240771"
"2015-02-04","PDGSIDBEXT","269739"
"2015-02-04","PDGSWOEXT","355472"
"2015-02-11","PDGSIDBEXT","240285"
"2015-02-11","PDGSWOEXT","316130"
"2015-02-18","PDGSIDBEXT","210028"
"2015-02-18","PDGSWOEXT","306545"
"2015-02-25","PDGSIDBEXT","196018"
"2015-02-25","PDGSWOEXT","268680"
"2015-03-04","PDGSIDBEXT","242791"
"2015-03-04","PDGSWOEXT","348776"
"2015-03-11","PDGSIDBEXT","209427"
"2015-03-11","PDGSWOEXT","306786"
"2015-03-18","PDGSIDBEXT","188542"
"2015-03-18","PDGSWOEXT","262297"
"2015-03-25","PDGSIDBEXT","186199"
"2015-03-25","PDGSWOEXT","285429"
"2015-04-01","PDGSIDBEXT","212595"
"2015-04-01","PDGSWOEXT","315348"
"2015-04-08","PDGSIDBEXT","143553"
"2015-04-08","PDGSWOEXT","204792"
"2015-04-15","PDGSIDBEXT","149347"
"2015-04-15","PDGSWOEXT","220925"
"2015-04-22","PDGSIDBEXT","147018"
"2015-04-22","PDGSWOEXT","201025"
"2015-04-29","PDGSIDBEXT","199962"
"2015-04-29","PDGSWOEXT","304925"
"2015-05-06","PDGSIDBEXT","209270"
"2015-05-06","PDGSWOEXT","289380"
"2015-05-13","PDGSIDBEXT","234272"
"2015-05-13","PDGSWOEXT","307487"
"2015-05-20","PDGSIDBEXT","196876"
"2015-05-20","PDGSWOEXT","269403"
"2015-05-27","PDGSIDBEXT","181232"
"2015-05-27","PDGSWOEXT","268623"
"2015-06-03","PDGSIDBEXT","253999"
"2015-06-03","PDGSWOEXT","353433"
"2015-06-10","PDGSIDBEXT","219899"
"2015-06-10","PDGSWOEXT","280980"
"2015-06-17","PDGSIDBEXT","172946"
"2015-06-17","PDGSWOEXT","239943"
"2015-06-24","PDGSIDBEXT","184858"
"2015-06-24","PDGSWOEXT","260099"
"2015-07-01","PDGSIDBEXT","217433"
"2015-07-01","PDGSWOEXT","303149"
"2015-07-08","PDGSIDBEXT","198825"
"2015-07-08","PDGSWOEXT","287297"
"2015-07-15","PDGSIDBEXT","183663"
"2015-07-15","PDGSWOEXT","244736"
"2015-07-22","PDGSIDBEXT","164187"
