"As Of Date","Time Series","Value (millions)"
"2015-01-07","PDFTD-USTET","77818"
"2015-01-07","PDFTR-USTET","78886"
"2015-01-14","PDFTD-USTET","69897"
"2015-01-14","PDFTR-USTET","78305"
"2015-01-21","PDFTD-USTET","63816"
"2015-01-21","PDFTR-USTET","73126"
"2015-01-28","PDFTD-USTET","65533"
"2015-01-28","PDFTR-USTET","70009"
"2015-02-04","PDFTD-USTET","70196"
"2015-02-04","PDFTR-USTET","78957"
"2015-02-11","PDFTD-USTET","66262"
"2015-02-11","PDFTR-USTET","68926"
"2015-02-18","PDFTD-USTET","50476"
"2015-02-18","PDFTR-USTET","53989"
"2015-02-25","PDFTD-USTET","112550"
"2015-02-25","PDFTR-USTET","108295"
"2015-03-04","PDFTD-USTET","139167"
"2015-03-04","PDFTR-USTET","145794"
"2015-03-11","PDFTD-USTET","55347"
"2015-03-11","PDFTR-USTET","62001"
"2015-03-18","PDFTD-USTET","70659"
"2015-03-18","PDFTR-USTET","78054"
"2015-03-25","PDFTD-USTET","62128"
"2015-03-25","PDFTR-USTET","64715"
"2015-04-01","PDFTD-USTET","57771"
"2015-04-01","PDFTR-USTET","55143"
"2015-04-08","PDFTD-USTET","62218"
"2015-04-08","PDFTR-USTET","58993"
"2015-04-15","PDFTD-USTET","57067"
"2015-04-15","PDFTR-USTET","55167"
"2015-04-22","PDFTD-USTET","46796"
"2015-04-22","PDFTR-USTET","50780"
"2015-04-29","PDFTD-USTET","70240"
"2015-04-29","PDFTR-USTET","73051"
"2015-05-06","PDFTD-USTET","81419"
"2015-05-06","PDFTR-USTET","84992"
"2015-05-13","PDFTD-USTET","103199"
"2015-05-13","PDFTR-USTET","103587"
"2015-05-20","PDFTD-USTET","91333"
"2015-05-20","PDFTR-USTET","101884"
"2015-05-27","PDFTD-USTET","68369"
"2015-05-27","PDFTR-USTET","71346"
"2015-06-03","PDFTD-USTET","70354"
"2015-06-03","PDFTR-USTET","72692"
"2015-06-10","PDFTD-USTET","75986"
"2015-06-10","PDFTR-USTET","80398"
"2015-06-17","PDFTD-USTET","69939"
"2015-06-17","PDFTR-USTET","76906"
"2015-06-24","PDFTD-USTET","62377"
"2015-06-24","PDFTR-USTET","63601"
"2015-07-01","PDFTD-USTET","62788"
"2015-07-01","PDFTR-USTET","63738"
"2015-07-08","PDFTD-USTET","63977"
"2015-07-08","PDFTR-USTET","70251"
"2015-07-15","PDFTD-USTET","58456"
"2015-07-15","PDFTR-USTET","61986"
"2015-07-22","PDFTD-USTET","62530"
"2015-07-22","PDFTR-USTET","67718"
"2015-07-29","PDFTD-USTET","54161"
"2015-07-29","PDFTR-USTET","57288"
"2015-08-05","PDFTD-USTET","65332"
"2015-08-05","PDFTR-USTET","74006"
"2015-08-12","PDFTD-USTET","65462"
"2015-08-12","PDFTR-USTET","62836"
"2015-08-19","PDFTD-USTET","75322"
"2015-08-19","PDFTR-USTET","78909"
"2015-08-26","PDFTD-USTET","80028"
"2015-08-26","PDFTR-USTET","85625"
"2015-09-02","PDFTD-USTET","79203"
"2015-09-02","PDFTR-USTET","81167"
"2015-09-09","PDFTD-USTET","56273"
"2015-09-09","PDFTR-USTET","64280"
"2015-09-16","PDFTD-USTET","60019"
"2015-09-16","PDFTR-USTET","61388"
"2015-09-23","PDFTD-USTET","71137"
"2015-09-23","PDFTR-USTET","75127"
"2015-09-30","PDFTD-USTET","79702"
"2015-09-30","PDFTR-USTET","82396"
"2015-10-07","PDFTD-USTET","81134"
"2015-10-07","PDFTR-USTET","87258"
"2015-10-14","PDFTD-USTET","81906"
"2015-10-14","PDFTR-USTET","84091"
"2015-10-21","PDFTD-USTET","89205"
"2015-10-21","PDFTR-USTET","87195"
"2015-10-28","PDFTD-USTET","89527"
"2015-10-28","PDFTR-USTET","90785"
"2015-11-04","PDFTD-USTET","84621"
"2015-11-04","PDFTR-USTET","87842"
"2015-11-11","PDFTD-USTET","114459"
"2015-11-11","PDFTR-USTET","114047"
"2015-11-18","PDFTD-USTET","103138"
"2015-11-18","PDFTR-USTET","102883"
"2015-11-25","PDFTD-USTET","97485"
"2015-11-25","PDFTR-USTET","97990"
"2015-12-02","PDFTD-USTET","77523"
"2015-12-02","PDFTR-USTET","76134"
"2015-12-09","PDFTD-USTET","124712"
"2015-12-09","PDFTR-USTET","121214"
"2015-12-16","PDFTD-USTET","192289"
"2015-12-16","PDFTR-USTET","188208"
"2015-12-23","PDFTD-USTET","139913"
"2015-12-23","PDFTR-USTET","127027"
"2015-12-30","PDFTD-USTET","199817"
"2015-12-30","PDFTR-USTET","192471"
"2016-01-06","PDFTD-USTET","128854"
"2016-01-06","PDFTR-USTET","118348"
"2016-01-13","PDFTD-USTET","80460"
"2016-01-13","PDFTR-USTET","83427"
"2016-01-20","PDFTD-USTET","82105"
"2016-01-20","PDFTR-USTET","84884"
"2016-01-27","PDFTD-USTET","93685"
"2016-01-27","PDFTR-USTET","93978"
"2016-02-03","PDFTD-USTET","86163"
"2016-02-03","PDFTR-USTET","88014"
"2016-02-10","PDFTD-USTET","88899"
"2016-02-10","PDFTR-USTET","88333"
"2016-02-17","PDFTD-USTET","90086"
"2016-02-17","PDFTR-USTET","93384"
"2016-02-24","PDFTD-USTET","70006"
"2016-02-24","PDFTR-USTET","74598"
